,school,policy_details,number_of_applicants,accept_rate,test_optional?_No,test_optional?_Yes,test_optional?_Yes (TB),test_optional?_Yes (TF),test_optional?_Yes*,years_applicable_from_2021,sat_25th_percentile,sat_75th_percentile,act_25th_percentile,act_75th_percentile
0,Stanford University,Stanford has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Stanford does not offer merit-based aid.,47452,0.043,0,1,0,0,0,1,1440.0,1570.0,32.0,35.0
1,Harvard College,Harvard has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle. Harvard does not offer merit-based aid.,42749,0.047,0,1,0,0,0,1,1460.0,1580.0,33.0,35.0
2,Princeton University,Princeton has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.. Princeton does not offer merit-based aid.,35370,0.055,0,1,0,0,0,1,1440.0,1570.0,32.0,35.0
3,Columbia University,Columbia has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Columbia does not offer merit-based aid.,40203,0.055,0,1,0,0,0,1,1450.0,1560.0,33.0,35.0
4,Yale University,Yale has adopted a one-year test optional policy for the 2020-21 admission cycle. Yale does not offer merit-based aid.,36844,0.061,0,1,0,0,0,1,1460.0,1570.0,33.0,35.0
5,California Institute of Technology,CalTech has adopted a two-year Test Blind policy meaning it will not consider standardized test scores beginning with the 2020-21 admissions cycle. It will not consider the optional SAT Essay or ACT Writing Test or SAT Subject Test scores. CalTech does not offer merit-based aid.,8367,0.064,0,0,1,0,0,2,,1560.0,35.0,36.0
6,Massachusetts Institute of Technology,MIT has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. MIT will not consider SAT Subject Test scores. MIT does not offer merit-based aid.,21706,0.067,0,1,0,0,0,1,,1570.0,34.0,36.0
7,Brown University,Brown has adopted a one-year test optional policy for the 2020-21 admission cycle. Brown does not offer merit-based aid.,38674,0.071,0,1,0,0,0,1,,1570.0,33.0,35.0
8,University of Chicago,UChicago offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. ,32283,0.073,0,1,0,0,0,100,,1570.0,33.0,35.0
9,Pomona College,Pomona College has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle. Pomona College does not offer merit-based aid.,10401,0.07400000000000001,0,1,0,0,0,1,1390.0,1540.0,32.0,35.0
10,University of Pennsylvania,UPenn has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. UPenn does not offer merit-based aid.,44961,0.077,0,1,0,0,0,1,1450.0,1560.0,33.0,35.0
11,Dartmouth College,Dartmouth has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Dartmouth does not offer merit-based aid.,23650,0.079,0,1,0,0,0,1,1440.0,1560.0,32.0,35.0
12,Bowdoin College,Bowdoin College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Bowdoin does not offer merit-based aid.,9332,0.08800000000000001,0,1,0,0,0,100,1330.0,1520.0,31.0,34.0
13,Duke University,Duke has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,35767,0.08900000000000001,0,1,0,0,0,1,1450.0,1570.0,33.0,35.0
14,Swarthmore College,Swarthmore has adopted a two-year test optional policy for all first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Swarthmore will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,11442,0.08900000000000001,0,1,0,0,0,2,1380.0,1540.0,31.0,35.0
15,Northwestern University,Northwestern has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,40585,0.091,0,1,0,0,0,1,1440.0,1550.0,33.0,35.0
16,Vanderbilt University,Vanderbilthas adopted a one-year test optional policy for all first-year and transfer applicants both domestic and international for Fall 2021 matriculation.,37310,0.091,0,1,0,0,0,1,1460.0,1560.0,33.0,35.0
17,Claremont McKenna College,Claremont McKenna College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle.,6066,0.10300000000000001,0,1,0,0,0,1,1360.0,1510.0,31.0,34.0
18,Johns Hopkins University,Johns Hopkins has adopted a one-year test optional policy for the 2020-21 admission cycle.,29129,0.106,0,1,0,0,0,1,1470.0,1560.0,33.0,35.0
19,Cornell University,Cornell has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle. Cornell does not offer merit-based aid.,49114,0.109,0,1,0,0,0,1,1400.0,1560.0,32.0,35.0
20,Rice University,Rice has adopted a one-year test optional policy for all first-year and transfer students applying in the 2020-21 admission cycle.,20923,0.111,0,1,0,0,0,1,1450.0,1560.0,33.0,35.0
21,Amherst College,Amherst College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Amherst College does not offer merit-based aid.,10569,0.113,0,1,0,0,0,1,1410.0,1550.0,31.0,34.0
22,Barnard College,Barnard College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Barnard College does not offer merit-based aid.,9320,0.11800000000000001,0,1,0,0,0,1,1340.0,1520.0,31.0,34.0
23,Bates College,Bates offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Bates does not offer merit-based aid.,8222,0.121,0,1,0,0,0,100,1270.0,1480.0,29.0,33.0
24,University of California—​Los Angeles,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,111322,0.12300000000000001,0,1,0,0,0,4,1290.0,1510.0,27.0,34.0
25,Tulane University,Tulane has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,42185,0.129,0,1,0,0,0,1,1360.0,1520.0,31.0,33.0
26,University of Southern California,USC has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,64352,0.13,0,1,0,0,0,1,1350.0,1530.0,30.0,34.0
27,Williams College,Williams College has adopted a one-year test optional policy for first-time international and transfer applicants in the 2020-21 admission cycle. Williams college does not offer merit-based aid.,9560,0.13,0,1,0,0,0,1,1410.0,1550.0,32.0,35.0
28,Colby College,Colby College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Colby does not offer merit-based aid.,12313,0.13,0,1,0,0,0,100,1350.0,1510.0,31.0,33.0
29,Pitzer College,Pitzer offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants to the joint medical program homeschooled students and students who attend secondary schools at which grades are not provided are not eligible for test optional admission.,4358,0.133,0,1,0,0,0,100,1340.0,1490.0,30.0,33.0
30,Colorado College,Colorado College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,9456,0.135,0,1,0,0,0,100,1300.0,1480.0,29.0,33.0
31,Harvey Mudd College,Harvey Mudd has adopted a one-year test optional policy for all first-year and transfer students applying in the 2020-21 admission cycle.,4045,0.13699999999999998,0,1,0,0,0,1,1490.0,1570.0,33.0,35.0
32,Georgetown University,Georgetown has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. Georgetown does not offer merit-based aid.,22872,0.145,0,1,0,0,0,1,1370.0,1530.0,31.0,34.0
33,University of California—​Berkeley,Cal has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,89621,0.14800000000000002,0,0,1,0,0,4,1300.0,1530.0,28.0,34.0
34,Tufts University,Tufts has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Tufts will reevaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission. Tufts does not offer merit-based aid.,22766,0.15,0,1,0,0,0,3,1390.0,1540.0,32.0,34.0
35,Washington University in St. Louis,Washington University in St. Louis has adopted a one-year test optional policy for the 2020-21 admission cycle.,31320,0.15,0,1,0,0,0,1,1470.0,1570.0,32.0,35.0
36,Middlebury College,Middlebury has adopted a three-year test optional policy for first-year and transfer students beginning with the 2020-21 admission cycle. After a three-year pilot period Middlebury will re-evaluate whether to continue the test optional policy indefinitely or return to its previous test flexible policy. Middlebury does not offer merit-based aid.,9754,0.154,0,1,0,0,0,3,1360.0,1530.0,32.0,34.0
37,Carnegie Mellon University,Carnegie Mellon has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Carnegie Mellon does not offer merit-based aid.,27634,0.154,0,1,0,0,0,1,1460.0,1560.0,33.0,35.0
38,University of Notre Dame,Notre Dame has adopted a one-year test optional policy for all first year and transfer students applying in the 2020-21 admission cycle.,22200,0.158,0,1,0,0,0,1,1400.0,1550.0,32.0,35.0
39,The Cooper Union,Cooper Union has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Cooper Union will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,2447,0.16,0,1,0,0,0,2,1283.0,1510.0,31.0,34.0
40,New York University,NYU has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,79462,0.162,0,1,0,0,0,1,1370.0,1510.0,30.0,34.0
41,Haverford College,Haverford has adopted a three-year test optional policy for all first-year and transfer applicants beginning with the 2020-21 admission cycle. After a three-year period Haverford will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission. Haverford does not offer merit-based aid.,4963,0.163,0,1,0,0,0,3,1380.0,1540.0,32.0,34.0
42,Wesleyan University,Wesleyan University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission. International students will not be required to submit SAT or ACT scores for the 2020-21 admission cycle.,13264,0.165,0,1,0,0,0,100,1320.0,1510.0,31.0,34.0
43,Hamilton College,Hamilton College has adopted a one-year test optional policy for all first-year and transfer applicants in the 2020-21 admission cycle. Hamilton does not offer merit-based aid.,8279,0.165,0,1,0,0,0,1,1370.0,1520.0,32.0,34.0
44,Northeastern University,Northeastern University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,62263,0.18100000000000002,0,1,0,0,0,1,1390.0,1540.0,32.0,35.0
45,Davidson College,Davidson has adopted a three-year test optional policy for first-time students beginning with the 2020-21 admission cycle. However homeschooled students and students who attend non-traditional schools are not eligible for test optional admission. After a three-year pilot period Davidson will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,5982,0.18100000000000002,0,1,0,0,0,3,1310.0,1485.0,30.0,33.0
46,Emory University,Emory has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,27559,0.185,0,1,0,0,0,1,1350.0,1520.0,31.0,34.0
47,Carleton College,Carleton College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Carleton College does not offer merit-based aid.,7382,0.19,0,1,0,0,0,1,1360.0,1540.0,31.0,34.0
48,Georgia Institute of Technology,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,36856,0.20600000000000002,0,1,0,0,0,1,1300.0,1510.0,29.0,34.0
49,Washington and Lee University,Washington and Lee has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,5855,0.212,0,1,0,0,0,1,1348.0,1490.0,31.0,34.0
50,Wellesley College,Wellesley College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Wellesley College does not offer merit-based aid.,6395,0.21600000000000003,0,1,0,0,0,1,1360.0,1530.0,31.0,34.0
51,Boston University,Boston University has adopted a one-year test optional policy for all first year applicants both domestic and international in the 2020-21 admission cycle.,64481,0.221,0,1,0,0,0,1,1330.0,1500.0,30.0,33.0
52,Colgate University,Colgate University has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Colgate does not offer merit-based aid.,9951,0.226,0,1,0,0,0,1,1330.0,1500.0,31.0,34.0
53,University of North Carolina—​Chapel Hill,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,42466,0.226,0,1,0,0,0,1,1300.0,1490.0,27.0,33.0
54,University of Michigan—​Ann Arbor,The University of Michigan has adopted a one-year test optional policy for students applying the 2020-21 admission cycle.,64972,0.22899999999999998,0,1,0,0,0,1,1340.0,1530.0,31.0,34.0
55,Vassar College,Vassar College has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle. Vassar College does not offer merit-based aid.,8961,0.237,0,1,0,0,0,1,1370.0,1530.0,31.0,34.0
56,Rhode Island School of Design,Rhode Island School of Design offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international and homeschooled students are still required to submit test scores.,3913,0.239,0,1,0,0,0,100,1180.0,1440.0,26.0,32.0
57,University of Virginia,UVA has adopted a a one-year test optional policy for applicants in the 2020-21 admission cycle.,40839,0.239,0,1,0,0,0,1,1340.0,1500.0,30.0,34.0
58,Grinnell College,Grinnell has adopted a one-year test optional policy for all first-year students applying in the 2020-21 admission cycle.,7349,0.244,0,1,0,0,0,1,1370.0,1530.0,30.0,34.0
59,Babson College,Babson has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,6362,0.24,0,1,0,0,0,1,1270.0,1450.0,28.0,32.0
60,University of California—​Irvine,UCI has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,95568,0.265,0,0,1,0,0,4,1180.0,1440.0,,
61,University of Miami,University of Miami has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,38919,0.271,0,1,0,0,0,1,1280.0,1420.0,29.0,32.0
62,Boston College,Boston College has adopted a one-year test optional policy for the 2020-21 admission cycle.,35552,0.272,0,1,0,0,0,1,1370.0,1490.0,31.0,34.0
63,Villanova University,Villanova has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,22909,0.282,0,1,0,0,0,1,1320.0,1470.0,31.0,34.0
64,University of Richmond,University of Richmond has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,12356,0.28300000000000003,0,1,0,0,0,1,1290.0,1460.0,30.0,33.0
65,California State Polytechnic University—​San Luis Obispo,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,54072,0.284,0,0,1,0,0,1,1250.0,1420.0,26.0,32.0
66,Trinity University,Trinity University has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Trinity will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,9864,0.28800000000000003,0,1,0,0,0,3,1290.0,1450.0,29.0,32.0
67,Case Western Reserve University,Case Western Reserve has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. Case Western Reserve will determine policies for future classes in winter 2020-21.,26642,0.293,0,1,0,0,0,1,1350.0,1520.0,30.0,34.0
68,University of Rochester,The University of Rochester offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,20216,0.295,0,1,0,0,0,100,1300.0,1500.0,29.0,33.0
69,University of California—​Santa Barbara,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,93457,0.29600000000000004,0,1,0,0,0,4,1260.0,1460.0,25.0,33.0
70,Wake Forest University,Wake Forest offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,12559,0.29600000000000004,0,1,0,0,0,100,1320.0,1490.0,30.0,33.0
71,Skidmore College,Skidmore College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students and homeschooled students are not eligible for test optional admission.,11102,0.3,0,1,0,0,0,100,1220.0,1400.0,28.0,32.0
72,University of California—​San Diego,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,97901,0.302,0,1,0,0,0,4,1250.0,1470.0,26.0,33.0
73,Franklin and Marshall College,Franklin and Marshall College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission. Franklin and Marshall does not offer merit-based aid.,9502,0.304,0,1,0,0,0,100,1250.0,1460.0,28.0,32.0
74,Brandeis University,Brandeis University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,11798,0.311,0,1,0,0,0,100,1280.0,1500.0,29.0,33.0
75,Lafayette College,Lafayette College has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,8521,0.315,0,1,0,0,0,1,1250.0,1440.0,28.0,33.0
76,American University,American University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Homeschooled students are highly encouraged to submit 2 SAT Subject test scores.,18984,0.315,0,1,0,0,0,100,1220.0,1380.0,27.0,31.0
77,University of Texas—​Austin,The University of Texas--Austin has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,53525,0.318,0,1,0,0,0,1,1240.0,1470.0,27.0,33.0
78,Scripps College,Scripps offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,3022,0.32,0,1,0,0,0,100,1333.0,1490.0,30.0,33.0
79,Lehigh University,Lehigh has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,15649,0.321,0,1,0,0,0,1,1280.0,1450.0,29.0,33.0
80,Macalester College,Macalester College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However Macalester recommends that homeschooled students and students who attend high schools that do not provide grades submit SAT or ACT scores.,6598,0.32299999999999995,0,1,0,0,0,100,1320.0,1510.0,29.0,33.0
81,Smith College,Smith College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,5597,0.325,0,1,0,0,0,100,1340.0,1520.0,30.0,33.0
82,Bryn Mawr College,Bryn Mawr offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,3332,0.331,0,1,0,0,0,100,1290.0,1510.0,29.0,33.0
83,Trinity College (Hartford),Trinity offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,6096,0.335,0,1,0,0,0,100,1300.0,1460.0,29.0,32.0
84,Denison University,Denison offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,8042,0.33899999999999997,0,1,0,0,0,100,1210.0,1380.0,28.0,31.0
85,San Diego State University,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,69842,0.34,0,0,1,0,0,1,1110.0,1320.0,22.0,29.0
86,Kenyon College,Kenyon has adopted a one-year test optional policy for applicants both domestic and international in the 2020-21 admission cycle.,6662,0.341,0,1,0,0,0,1,1270.0,1460.0,29.0,33.0
87,College of the Holy Cross,The College of the Holy Cross offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,7200,0.342,0,1,0,0,0,100,1260.0,1430.0,28.0,32.0
88,Bucknell University,Bucknell University adopted a five-year test optional policy for first-year students beginning with the 2020-21 admission cycle. However homeschooled students and international students are not eligible for test optional admission. Bucknell will use the five-year pilot period to assess the patterns of success for test score submitters and non-submitters.,9845,0.342,0,1,0,0,0,5,1255.0,1430.0,28.0,32.0
89,Emerson College,Emerson College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,12941,0.35600000000000004,0,1,0,0,0,100,1200.0,1390.0,27.0,31.0
90,Pepperdine University,Pepperdine University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,11265,0.35700000000000004,0,1,0,0,0,1,1220.0,1420.0,26.0,32.0
91,Hampton University,Hampton University requires either the SAT or ACT however they will waive this requirement for students with a 3.3+ GPA or who rank in the top 10% of their class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,13028,0.36,0,0,0,0,1,100,1040.0,1310.0,19.0,24.0
92,Oberlin College,Oberlin College has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Oberlin will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,7708,0.364,0,1,0,0,0,3,1280.0,1480.0,29.0,33.0
93,CUNY--Hunter,The CUNY system has adopted a one-year Test Blind policy for students applying to the Spring 2021 Fall 2021 and Spring 2022 semesters.,31030,0.364,0,0,1,0,0,1,1090.0,1260.0,,
94,Occidental College,Occidental has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.,7501,0.36700000000000005,0,1,0,0,0,1,1300.0,1480.0,28.0,32.0
95,Connecticut College,Connecticut College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. ,6784,0.374,0,1,0,0,0,100,1310.0,1450.0,30.0,33.0
96,College of William and Mary,William and Mary has adopted a three-year test optional policy for all applicants beginning in the 2020-21 admission cycle.,14680,0.377,0,1,0,0,0,3,1320.0,1510.0,30.0,34.0
97,Mount Holyoke College,Mount Holyoke College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,3908,0.382,0,1,0,0,0,100,1270.0,1490.0,27.0,32.0
98,Berea College,Berea College has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,1576,0.382,0,1,0,0,0,1,1030.0,1213.0,22.0,27.0
99,Pratt Institute,The Pratt Institute has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,7941,0.385,0,1,0,0,0,1,1100.0,1320.0,26.0,30.0
100,Soka University of America,Soka University has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,464,0.38799999999999996,0,1,0,0,0,1,1180.0,1410.0,27.0,30.0
