Id,PID,Lot_Frontage,Lot_Area,Lot_Shape,Land_Slope,Overall_Qual,Overall_Cond,Year_Built,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Heating_QC,Central_Air,Electrical,1st_Flr_SF,2nd_Flr_SF,Low_Qual_Fin_SF,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,Functional,Fireplaces,Fireplace_Qu,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,3Ssn_Porch,Screen_Porch,Pool_Area,Fence,Misc_Val,Mo_Sold,SalePrice,Age,Other_Rooms,Garage_area/car,Neighb_Qual,Street_Pave,Land_Contour_HLS,Land_Contour_Low,Land_Contour_Lvl,MS_Zoning_RH,MS_Zoning_RL,MS_Zoning_RM,Condition_Feedr,Condition_Norm,Condition_PosA,Bldg_Type_2FmCon,Bldg_Type_Duplx,Bldg_Type_TwnhsE,Bldg_Type_TwnhsI,Roof_Style_Gable,Roof_Style_Gambrel,Roof_Style_Hip,Roof_Style_Mansard,Roof_Style_Shed,is_Remodeled,Exterior_AsbShng,Exterior_AsphShn,Exterior_BrkComm,Exterior_BrkFace,Exterior_CemntBd,Exterior_HdBoard,Exterior_MetalSd,Exterior_Plywood,Exterior_Stucco,Exterior_VinylSd,Exterior_Wd Sdng,Exterior_WdShing,Garage_Type_Attchd,Garage_Type_Basment,Garage_Type_BuiltIn,Garage_Type_CarPort,Garage_Type_Detchd,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Lot_Config_CulDSac,Lot_Config_FR2,Lot_Config_FR3,Lot_Config_Inside
109,533352170,70.0,13517,3,3,6,8,1976,289.0,4,3,3,3,1,6,533.0,1,0.0,192.0,5,1,5,725,754,0,0.0,0.0,2,1,3,1,4,7,0,0,1976.0,2,2.0,3,3,3,0,44,0,0,0,0,0,0,3,130500,34,3,237.5,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
544,531379050,43.0,11492,3,3,7,5,1996,132.0,4,3,4,3,1,6,637.0,1,0.0,276.0,5,1,5,913,1209,0,1.0,0.0,2,1,4,1,4,7,1,3,1997.0,2,2.0,3,3,3,0,74,0,0,0,0,0,0,4,220000,13,4,279.5,3,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
153,535304180,68.0,7922,4,3,5,7,1953,0.0,3,4,3,3,1,6,731.0,1,0.0,326.0,3,1,5,1057,0,0,1.0,0.0,1,0,3,1,4,7,0,0,1953.0,1,1.0,3,3,3,0,52,0,0,0,0,0,0,1,109000,57,2,246.0,2,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
318,916386060,73.0,9802,4,3,5,5,2006,0.0,3,3,4,3,1,1,0.0,1,0.0,384.0,4,1,5,744,700,0,0.0,0.0,2,1,3,1,3,7,0,0,2007.0,3,2.0,3,3,3,100,0,0,0,0,0,0,0,4,174000,4,4,200.0,4,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
255,906425045,82.0,14235,3,3,6,8,1900,0.0,3,3,2,4,1,1,0.0,1,0.0,676.0,3,1,5,831,614,0,0.0,0.0,2,0,3,1,3,7,0,0,1957.0,1,2.0,3,3,1,0,59,0,0,0,0,0,0,3,138500,110,3,242.0,3,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
138,535126040,137.0,16492,3,3,6,6,1966,0.0,4,3,3,3,1,5,247.0,3,713.0,557.0,5,1,5,1888,0,0,0.0,0.0,2,1,2,1,4,4,1,4,1966.0,3,2.0,3,3,3,0,0,0,0,0,0,0,0,6,190000,44,4,289.0,2,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2827,908186070,35.0,3675,4,3,6,5,2005,82.0,3,3,4,3,4,6,547.0,1,0.0,0.0,4,1,5,1072,0,0,1.0,0.0,2,0,2,1,3,7,0,0,2005.0,3,2.0,3,3,3,0,44,0,0,0,0,0,0,6,140000,1,3,262.5,1,1,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
145,535154050,72.0,12160,3,3,5,5,1959,180.0,3,3,3,3,1,3,1000.0,1,0.0,188.0,2,1,5,1188,0,0,1.0,0.0,1,0,3,1,3,7,0,0,1959.0,2,2.0,3,3,3,0,0,0,0,0,0,3,0,5,142000,51,3,265.5,2,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1942,535353130,60.0,15783,4,3,5,5,1952,0.0,3,3,3,3,1,3,292.0,1,0.0,632.0,3,1,5,924,0,0,0.0,0.0,1,0,2,1,3,7,0,0,1952.0,1,1.0,3,3,3,0,324,0,0,0,0,3,400,6,112500,55,4,420.0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
1956,535426130,70.0,11606,3,1,5,5,1969,192.0,3,3,4,3,3,3,650.0,1,0.0,390.0,3,1,5,1040,1040,0,0.0,1.0,1,2,5,1,2,7,2,3,1969.0,1,2.0,3,3,3,335,0,0,0,0,0,0,0,9,135000,38,4,252.0,2,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
